message_key,message_text,locale,deleted,version
msg.list.document.hlabel,Documents,en_US,FALSE,0

msg.list.desc.products,Active Products,en_US,FALSE,0
msg.list.label.products,Products,en_US,FALSE,0
msg.list.product.name,Name,en_US,FALSE,0
msg.list.product.owner,Owner,en_US,FALSE,0
msg.module.menu.product,Product,en_US,FALSE,0
msg.module.menu.product.viewall,Products,en_US,FALSE,0
msg.form.opportunity.label,Opportunity,en_US,FALSE,0
msg.form.opportunity.new,New,en_US,FALSE,0
msg.form.opportunity.edit,Edit,en_US,FALSE,0
msg.form.opportunity.delete,Delete,en_US,FALSE,0
msg.form.opportunity.name,Name,en_US,FALSE,0
msg.form.opportunity.phone,Phone,en_US,FALSE,0
msg.form.opportunity.website,Website,en_US,FALSE,0
msg.form.opportunity.secondary_phone,Secondary Phone,en_US,FALSE,0
msg.form.opportunity.createNewOppurtunity,Create New Opportunity,en_US,FALSE,0
msg.form.opportunity.editOppurtunity,Edit Opportunity,en_US,FALSE,0
msg.form.opportunity.oppurtunityDetails,Opportunity Details,en_US,FALSE,0
msg.form.opportunity.amount,Amount,en_US,FALSE,0
msg.form.opportunity.email,Email,en_US,FALSE,0

msg.module.menu.opportunity.comments,Comments,en_US,FALSE,0
msg.module.menu.opportunity.comments.viewall,Comments,en_US,FALSE,0
msg.module.menu.opportunity.comments.comment,Comments,en_US,FALSE,0

msg.module.menu.opportunity.desc,Comments,en_US,FALSE,0
msg.module.menu.opportunity.edit,Edit,en_US,FALSE,0
msg.module.menu.opportunity.description,Description,en_US,FALSE,0

msg.form.product.save,Save,en_US,FALSE,0
msg.form.product.back,Back,en_US,FALSE,0
msg.form.product.new,New,en_US,FALSE,0
msg.form.product.edit,Edit,en_US,FALSE,0
msg.form.product.copy,Copy,en_US,FALSE,0
msg.form.product.delete,Delete,en_US,FALSE,0
msg.form.product.convert,Convert,en_US,FALSE,0
msg.form.product.name,Name,en_US,FALSE,0
msg.form.product.vendor_name,Vendor Name,en_US,FALSE,0
msg.form.product.sales_startdate,Sales StartDate,en_US,FALSE,0
msg.form.product.sales_enddate,Sales EndDate,en_US,FALSE,0
msg.form.product.commisson_rate,Commisson Rate,en_US,FALSE,0
msg.form.product.manufacturer,Manufacturer,en_US,FALSE,0
msg.form.product.unit_price,Unit Price,en_US,FALSE,0
msg.form.product.taxable,Taxable,en_US,FALSE,0
msg.form.product.support_startdate,Support StartDate,en_US,FALSE,0
msg.form.product.support_enddate,Support EndDate,en_US,FALSE,0
msg.form.product.usage_unit,Usage Unit,en_US,FALSE,0
msg.form.product.qty_ordered,Qty Ordered,en_US,FALSE,0
msg.form.product.qty_instock,Qty InStock,en_US,FALSE,0
msg.form.product.reorder_level,Reorder Level ,en_US,FALSE,0
msg.form.product.handler,Handler,en_US,FALSE,0
msg.form.product.qty_in_demand,Qty In Demand,en_US,FALSE,0
msg.form.product.description,Description,en_US,FALSE,0
msg.form.product.owner,Owner,en_US,FALSE,0
msg.form.product.product_code,Product Code,en_US,FALSE,0
msg.form.product.active,Active,en_US,FALSE,0
msg.form.product.product_category,Product Category,en_US,FALSE,0

msg.form.list.newlv,NewListView,en_US,FALSE,0
msg.form.list.description,Description,en_US,FALSE,0
msg.form.list.savelv,SaveLv,en_US,FALSE,0
msg.form.list.viewall,View All,en_US,FALSE,0
msg.form.list.edit,Edit,en_US,FALSE,0
msg.form.list.delete,Delete,en_US,FALSE,0
msg.form.list.manage,Manage,en_US,FALSE,0
msg.form.list.name,Name,en_US,FALSE,0
msg.form.list.entity,Entity,en_US,FALSE,0
msg.form.list.list_type,List Type,en_US,FALSE,0

msg.list.contact.desc,Contacts,en_US,FALSE,0
msg.list.contact.label,Contacts,en_US,FALSE,0
msg.list.button.contact.new,New,en_US,FALSE,0

msg.list.col.contact.firstName,First Name,en_US,FALSE,0
msg.list.col.contact.lastName,Last Name,en_US,FALSE,0
msg.list.col.contact.email,Email,en_US,FALSE,0
msg.list.col.contact.phone,Phone,en_US,FALSE,0
msg.page.contact.new,New Contact,en_US,FALSE,0

msg.form.contact.new,New Contact,en_US,FALSE,0
msg.form.contact.edit,Edit Contact,en_US,FALSE,0
msg.form.contact.detail,Contact Details,en_US,FALSE,0
msg.page.contact.list,Contacts,en_US,FALSE,0
msg.page.contact.edit,Edit Contact,en_US,FALSE,0

##product##
msg.list.product.desc,Products,en_US,FALSE,0
msg.list.product.label,Products,en_US,FALSE,0
msg.page.product.label,Products,en_US,FALSE,0

msg.form.product.title.new,New Product,en_US,FALSE,0
msg.form.product.title.edit,Edit Product,en_US,FALSE,0
msg.form.product.title.detail,Product Detail,en_US,FALSE,0
msg.page.product.new,New Product,en_US,FALSE,0

## category
msg.module.menu.category,Category,en_US,FALSE,0
msg.list.category.desc,Product Categories,en_US,FALSE,0
msg.list.category.label,Product Categories,en_US,FALSE,0
msg.list.button.category.new,New,en_US,FALSE,0
msg.list.col.category.name,Name,en_US,FALSE,0

msg.page.product.new,New Product,en_US,FALSE,0
msg.page.product.detail,Product Details,en_US,FALSE,0
msg.page.product.edit,Edit Product,en_US,FALSE,0
msg.page.product.copy,Copy Product,en_US,FALSE,0
msg.page.product.list,Products,en_US,FALSE,0


#### validation messages ######

NotEmpty.lead.email,Email cannot be empty,en_US,FALSE,0
typeMismatch.opportunity.expectedClose,Expected close date format incorrect,en_US,FALSE,0


### spring security
AbstractAccessDecisionManager.accessDenied,Access Denied,en_US,FALSE,0


## Quote
msg.module.menu.quote,Quote,en_US,FALSE,0
Lead,Quote,en_US,FALSE,0

## Opportunity
msg.page.opportunity.list,Opportunities,en_US,FALSE,0
Leads,Leads,en_US,FALSE,0
msg.page.opportunity.kanban,Kanban View - Opportunities,en_US,FALSE,0

#import
msg.form.import.basicinfo,Basic Information,en_US,FALSE,0
msg.form.document.title.import,Import Document,en_US,FALSE,0
#document
msg.form.document.basicinfo,Basic Information,en_US,FALSE,0
msg.form.document.description,Description,en_US,FALSE,0
msg.form.document.new,New Document,en_US,FALSE,0
msg.form.document.edit,Edit New Document,en_US,FALSE,0
msg.form.document.details,Document Details,en_US,FALSE,0
